X,Y,Yaw
0.325,-1.318327611,1.088737806
0.326,-1.316403842,1.091424299
0.327,-1.314467684,1.094046459
0.328,-1.31251931,1.096606193
0.329,-1.310558894,1.099104723
0.33,-1.308586607,1.101544047
0.331,-1.306602619,1.103925686
0.332,-1.304607099,1.10625111
0.333,-1.302600213,1.108522134
0.334,-1.300582127,1.110739922
0.335,-1.298553006,1.112905793
0.336,-1.296513013,1.115021215
0.337,-1.294462309,1.117087607
0.338,-1.292401055,1.119105962
0.339,-1.290329409,1.121077806
0.34,-1.28824753,1.123003864
0.341,-1.286155573,1.124885771
0.342,-1.284053695,1.126723999
0.343,-1.281942048,1.128520289
0.344,-1.279820784,1.130275419
0.345,-1.277690056,1.131989961
0.346,-1.275550014,1.133665185
0.347,-1.273400805,1.135302324
0.348,-1.271242577,1.136901867
0.349,-1.269075477,1.138464636
0.35,-1.266899649,1.139991781
0.351,-1.264715237,1.141483896
0.352,-1.262522385,1.142941557
0.353,-1.260321232,1.144366179
0.354,-1.258111919,1.145757949
0.355,-1.255894586,1.147117551
0.356,-1.25366937,1.148445986
0.357,-1.251436407,1.149743896
0.358,-1.249195834,1.15101157
0.359,-1.246947783,1.15225028
0.36,-1.24469239,1.153459787
0.361,-1.242429785,1.154641488
0.362,-1.240160099,1.155795609
0.363,-1.237883463,1.156922529
0.364,-1.235600005,1.158023099
0.365,-1.233309852,1.15909783
0.366,-1.231013131,1.160147057
0.367,-1.228709968,1.161171267
0.368,-1.226400487,1.162171091
0.369,-1.224084811,1.163146987
0.37,-1.221763063,1.164099246
0.371,-1.219435362,1.165028772
0.372,-1.217101831,1.165935211
0.373,-1.214762587,1.166819754
0.374,-1.212417749,1.16768234
0.375,-1.210067434,1.168523518
0.376,-1.207711758,1.169343671
0.377,-1.205350835,1.170143327
0.378,-1.20298478,1.170922547
0.379,-1.200613707,1.171681689
0.38,-1.198237726,1.172421556
0.381,-1.195856949,1.173142035
0.382,-1.193471486,1.173843611
0.383,-1.191081447,1.174526458
0.384,-1.188686939,1.175191194
0.385,-1.186288069,1.17583798
0.386,-1.183884945,1.176466825
0.387,-1.181477671,1.17707847
0.388,-1.179066351,1.177673059
0.389,-1.17665109,1.178250582
0.39,-1.17423199,1.178811613
0.391,-1.171809152,1.179356425
0.392,-1.169382678,1.179884993
0.393,-1.166952667,1.180397873
0.394,-1.164519218,1.180895174
0.395,-1.16208243,1.181377006
0.396,-1.1596424,1.181843761
0.397,-1.157199223,1.182295823
0.398,-1.154752997,1.182732858
0.399,-1.152303815,1.183155672
0.4,-1.149851771,1.183564208
0.401,-1.147396958,1.183958691
0.402,-1.14493947,1.184339059
0.403,-1.142479396,1.184706096
0.404,-1.140016827,1.185059591
0.405,-1.137551854,1.185399611
0.406,-1.135084564,1.185726788
0.407,-1.132615047,1.186040758
0.408,-1.13014339,1.186342006
0.409,-1.127669678,1.186630866
0.41,-1.125193999,1.18690697
0.411,-1.122716436,1.187171071
0.412,-1.120237075,1.187422794
0.413,-1.117755998,1.187662744
0.414,-1.115273288,1.187890823
0.415,-1.112789028,1.188107071
0.416,-1.110303298,1.188311943
0.417,-1.107816179,1.188505335
0.418,-1.105327751,1.188687418
0.419,-1.102838092,1.188858501
0.42,-1.100347281,1.189018473
0.421,-1.097855396,1.189167499
0.422,-1.095362513,1.18930588
0.423,-1.092868709,1.189433499
0.424,-1.090374058,1.189550793
0.425,-1.087878637,1.189657365
0.426,-1.085382518,1.189753922
0.427,-1.082885775,1.189840203
0.428,-1.080388482,1.189916222
0.429,-1.077890709,1.189982541
0.43,-1.075392529,1.190038758
0.431,-1.072894012,1.190085293
0.432,-1.070395228,1.190122155
0.433,-1.067896247,1.190149349
0.434,-1.065397137,1.190167153
0.435,-1.062897967,1.190175434
0.436,-1.060398803,1.190174606
0.437,-1.057899714,1.190164255
0.438,-1.055400765,1.190144932
0.439,-1.052902021,1.190116633
0.44,-1.050403549,1.19007908
0.441,-1.047905412,1.190032819
0.442,-1.045407674,1.189977706
0.443,-1.042910398,1.189913872
0.444,-1.040413648,1.189841171
0.445,-1.037917484,1.189760145
0.446,-1.035421969,1.189670371
0.447,-1.032927163,1.189572251
0.448,-1.030433127,1.189465634
0.449,-1.027939921,1.189350646
0.45,-1.025447604,1.189227411
0.451,-1.022956234,1.189096053
0.452,-1.020465869,1.188956555
0.453,-1.017976568,1.188808762
0.454,-1.015488386,1.188653212
0.455,-1.013001381,1.18848947
0.456,-1.010515609,1.188317794
0.457,-1.008031125,1.188138303
0.458,-1.005547984,1.187950977
