X,Y,Yaw
0.666,-0.57316302,1.026709922
0.667,-0.57151134,1.026383385
0.668,-0.569860879,1.026056228
0.669,-0.568211639,1.025728179
0.67,-0.566563623,1.025398967
0.671,-0.564916836,1.025068051
0.672,-0.563271285,1.024734886
0.673,-0.561626978,1.024399195
0.674,-0.559983923,1.024060971
0.675,-0.558342131,1.023719394
0.676,-0.556701613,1.023374453
0.677,-0.555062383,1.023025325
0.678,-0.553424453,1.022672538
0.679,-0.55178784,1.022314721
0.68,-0.550152557,1.021952947
0.681,-0.548518622,1.021585839
0.682,-0.546886051,1.021213925
0.683,-0.545254864,1.020836096
0.684,-0.543625077,1.020453424
0.685,-0.541996712,1.02006425
0.686,-0.540369788,1.019669371
0.687,-0.538744325,1.019268494
0.688,-0.537120344,1.01886132
0.689,-0.535497867,1.01844755
0.69,-0.533876916,1.018027159
0.691,-0.532257513,1.017600122
0.692,-0.530639682,1.017165858
0.693,-0.529023444,1.01672517
0.694,-0.527408824,1.016276922
0.695,-0.525795846,1.015821361
0.696,-0.524184532,1.015359012
0.697,-0.522574909,1.014888454
0.698,-0.520966998,1.014411326
0.699,-0.519360827,1.013925642
0.7,-0.517756418,1.013433045
0.701,-0.516153798,1.012932101
0.702,-0.51455299,1.012423895
0.703,-0.51295402,1.011907552
0.704,-0.511356913,1.011383313
0.705,-0.509761695,1.010850861
0.706,-0.508168389,1.010311002
0.707,-0.506577023,1.009762288
0.708,-0.50498762,1.00920609
0.709,-0.503400206,1.008641521
0.71,-0.501814806,1.008068823
0.711,-0.500231446,1.007487669
0.712,-0.49865015,1.006898588
0.713,-0.497070943,1.006301252
0.714,-0.495493851,1.005695331
0.715,-0.493918897,1.005081642
0.716,-0.492346108,1.004458991
0.717,-0.490775507,1.003828485
0.718,-0.489207119,1.003189501
0.719,-0.487640968,1.002542283
0.72,-0.486077079,1.001886495
0.721,-0.484515476,1.00122238
0.722,-0.482956183,1.000549891
0.723,-0.481399223,0.999869271
0.724,-0.47984462,0.999180181
0.725,-0.478292398,0.998482573
0.726,-0.47674258,0.997776689
0.727,-0.475195189,0.997062483
0.728,-0.473650248,0.996339903
0.729,-0.47210778,0.995608899
0.73,-0.470567807,0.994869719
0.731,-0.469030351,0.994122312
0.732,-0.467495436,0.993366031
0.733,-0.465963082,0.992602017
0.734,-0.464433312,0.991829325
0.735,-0.462906146,0.991048799
0.736,-0.461381607,0.99025949
0.737,-0.459859716,0.989461943
0.738,-0.458340492,0.988656712
0.739,-0.456823958,0.987842537
0.74,-0.455310132,0.987020877
0.741,-0.453799036,0.986190468
0.742,-0.45229069,0.985351864
0.743,-0.450785112,0.984505622
0.744,-0.449282324,0.983650467
0.745,-0.447782343,0.982787877
0.746,-0.446285189,0.981916879
0.747,-0.44479088,0.981038037
0.748,-0.443299436,0.980150677
0.749,-0.441810874,0.979255676
0.75,-0.440325212,0.978352671
0.751,-0.438842469,0.977441297
0.752,-0.437362662,0.976522124
0.753,-0.435885808,0.975595099
0.754,-0.434411924,0.97466017
0.755,-0.432941028,0.973716968
0.756,-0.431473135,0.972766386
0.757,-0.430008262,0.971807741
0.758,-0.428546425,0.970841294
0.759,-0.427087641,0.969866675
0.76,-0.425631924,0.968884788
0.761,-0.42417929,0.967894942
0.762,-0.422729754,0.966897404
0.763,-0.421283332,0.965891799
0.764,-0.419840037,0.964879043
0.765,-0.418399884,0.963858438
0.766,-0.416962888,0.96282993
0.767,-0.415529062,0.961794119
0.768,-0.414098419,0.960750955
0.769,-0.412670974,0.95969973
0.77,-0.41124674,0.958641048
0.771,-0.409825729,0.95757519
0.772,-0.408407954,0.956501774
0.773,-0.406993428,0.955420749
0.774,-0.405582163,0.954332396
0.775,-0.40417417,0.953237002
0.776,-0.402769463,0.95213351
0.777,-0.401368051,0.951023549
0.778,-0.399969948,0.949905387
0.779,-0.398575162,0.948781001
0.78,-0.397183706,0.947648651
0.781,-0.39579559,0.946509304
0.782,-0.394410825,0.945362571
0.783,-0.39302942,0.94420909
0.784,-0.391651386,0.943048127
0.785,-0.390276731,0.941880669
0.786,-0.388905466,0.940705633
0.787,-0.3875376,0.939523664
0.788,-0.386173142,0.938334715
0.789,-0.3848121,0.937139091
0.79,-0.383454484,0.935936046
0.791,-0.382100301,0.934726588
0.792,-0.380749559,0.933510323
0.793,-0.379402267,0.932286852
0.794,-0.378058433,0.931056482
0.795,-0.376718063,0.929819885
0.796,-0.375381164,0.928576664
0.797,-0.374047745,0.927326057
0.798,-0.372717811,0.926069459
0.799,-0.37139137,0.924805747
0.8,-0.370068428,0.923535603
0.801,-0.36874899,0.922259352
0.802,-0.367433064,0.92097586
0.803,-0.366120654,0.919686548
0.804,-0.364811767,0.918390278
0.805,-0.363506407,0.917088115
0.806,-0.36220458,0.915779283
